Node,Period,New capacity [MW],Total capacity [MW],New capacity [kg/h],Total capacity [kg/h],Expected annual power usage [MWh],Expected annual hydrogen production [kg],Expected marginal price of hydrogen [EUR/kg]
GreatBrit.,2020-2025,5.500554132246445e-06,5.500554132246445e-06,0.00010001007513175355,0.00010001007513175355,0.01661385746524763,0.3020701357317751,0.0
GreatBrit.,2025-2030,3.646180139074241e-06,9.14621594872377e-06,6.945105026808078e-05,0.00017421363711854802,0.035661324124323976,0.67926331665379,3.0227460802888673
GreatBrit.,2030-2035,3.861988417886668e-05,4.7765581803366085e-05,0.0007356168415022225,0.0009098206057784016,0.27783769065382,5.292146488644192,2.8716758482097116
GreatBrit.,2035-2040,1.8460842628040008e-05,6.622590611004878e-05,0.0003886493184850528,0.0013942296023168165,0.33769811452768334,7.109433990056491,2.170886643684227
GreatBrit.,2040-2045,0.0004422249877168224,0.0005029500820026607,0.009309999741406788,0.010588422779003383,2.947177601665149,62.04584424558209,1.4505785670556668
GreatBrit.,2045-2050,8.733958637205522e-08,0.0004993912410187321,1.838728134148531e-06,0.010513499810920675,2.055691878169836,43.27772375094391,1.2601914678735338
GreatBrit.,2050-2055,3.15273375974273e-07,0.00046108662935508696,6.637334231037327e-06,0.009707086933791305,3.1130407845838133,65.53770072808028,1.050828822769558
GreatBrit.,2055-2060,3.400117536620008e-08,0.00044265978835495974,7.158142182357911e-07,0.009319153439051785,2.9938429810532683,63.02827328533196,1.0611616821126688
Greece,2020-2025,5.316385089961743e-06,5.316385089961743e-06,9.666154709021352e-05,9.666154709021352e-05,0.014579716040912504,0.26508574619840913,0.0
Greece,2025-2030,2.183828828651593e-06,7.499695595544684e-06,4.159673959336368e-05,0.0001428513446770416,0.022105851549493214,0.421063839037966,0.0
Greece,2030-2035,1.2018788180138327e-05,1.9517965452832246e-05,0.00022892929866930148,0.000371770770530138,0.0762588136861214,1.4525488321165982,2.8890188873157063
Greece,2035-2040,1.9144448986705093e-05,3.866189611669231e-05,0.00040304103129905464,0.0008139346550882592,0.1795075451696568,3.779106214098038,2.184094700538222
Greece,2040-2045,7.838816981995729e-05,0.0001117332921135645,0.001650277259367522,0.002352279833969779,0.4233694648238176,8.91304136471195,1.4608920587647105
Greece,2045-2050,1.4965792034777508e-07,0.00010969912121920501,3.15069305995316e-06,0.0023094551835622108,0.4827422963196255,10.162995711992115,1.2683948461137817
Greece,2050-2055,4.1453251256794825e-06,0.00010182565820014263,8.727000264588385e-05,0.002143698067371424,0.4587325399927947,9.657527157743045,1.057216897375949
Greece,2055-2060,1.1353797760902696e-07,8.279474703999496e-05,2.3902732128216203e-06,0.0017430473061051572,0.4720558582629037,9.93801806869271,1.068949783252159
Croatia,2020-2025,5.7969086682071165e-06,5.7969086682071165e-06,0.00010539833942194759,0.00010539833942194759,0.018915320720184304,0.34391492218516917,0.0
Croatia,2025-2030,7.200481635078707e-06,1.2996871980593626e-05,0.0001371520311443563,0.00024755946629702145,0.06450464533385294,1.2286599111210086,0.0
Croatia,2030-2035,0.00016201845164333815,0.0001750148053000727,0.0030860657455873933,0.0033336153390490036,1.137772893749031,21.67186464283869,2.868151364381914
Croatia,2035-2040,1.704967297304216e-07,0.0001751847837074158,3.5894048364299286e-06,0.0036881007096298065,1.050284819920858,22.111259366754908,2.1749843825161315
Croatia,2040-2045,7.487861826147393e-06,0.00017687534823764372,0.00015763919633994514,0.003723691541845131,1.0292041673032144,21.667456153751882,1.4579938648776896
Croatia,2045-2050,1.579902641965277e-06,0.00017125476907883786,3.3261108251900566e-05,0.0036053635595544816,1.0051323505136684,21.16068106344565,1.2554200945164902
Croatia,2050-2055,0.00019100760634185252,0.0002002439236370982,0.004021212765091632,0.004215661550254699,1.3423436864654332,28.259867083482803,1.0585078467618565
Croatia,2055-2060,3.871770611572588e-07,0.00020046060404990007,8.151096024363344e-06,0.004220223243155791,1.4346915764991675,30.20403318945616,1.0626878436221912
