Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Estonia,Windonshore,2045-2050,141.32251139288994
Estonia,Windonshore,2050-2055,130.99589607283377
Estonia,Windonshore,2055-2060,170.81744108846218
Spain,Windonshore,2020-2025,62.156046839194666
Spain,Windonshore,2025-2030,2310.092890769182
Spain,Windonshore,2030-2035,8238.010431079461
Spain,Windonshore,2035-2040,34648.92609191968
Spain,Windonshore,2040-2045,47904.805735876034
Spain,Windonshore,2045-2050,104966.95831783263
Spain,Windonshore,2050-2055,132544.04067302894
Spain,Windonshore,2055-2060,106271.07297914915
Finland,Windonshore,2020-2025,0.0009425648265683126
Finland,Windonshore,2025-2030,1049.5110186517652
Finland,Windonshore,2030-2035,0.023121760330066726
Finland,Windonshore,2035-2040,2.655166190670217
Finland,Windonshore,2040-2045,0.11799754617027275
Finland,Windonshore,2045-2050,0.08380654017869092
Finland,Windonshore,2050-2055,60.80572638728914
Finland,Windonshore,2055-2060,0.24152319033495848
France,Windonshore,2020-2025,0.0013685404647138177
France,Windonshore,2025-2030,0.0007784959226871601
France,Windonshore,2030-2035,0.004081903269596549
France,Windonshore,2035-2040,0.020531766958585784
France,Windonshore,2040-2045,9309.988078769751
France,Windonshore,2045-2050,2759.3755063062536
France,Windonshore,2050-2055,33298.9519464608
France,Windonshore,2055-2060,82335.72705509442
GreatBrit.,Windonshore,2020-2025,0.0044466324427565465
GreatBrit.,Windonshore,2025-2030,0.012642451626505898
GreatBrit.,Windonshore,2030-2035,0.038570172994484904
GreatBrit.,Windonshore,2035-2040,0.05605950038282452
GreatBrit.,Windonshore,2040-2045,0.1822226267254008
GreatBrit.,Windonshore,2045-2050,266.9706406348131
GreatBrit.,Windonshore,2050-2055,1761.252234031813
GreatBrit.,Windonshore,2055-2060,1398.8916969090938
Greece,Windonshore,2020-2025,0.0008139776229393561
Greece,Windonshore,2025-2030,284.9743528163077
Greece,Windonshore,2030-2035,1496.0347922479605
Greece,Windonshore,2035-2040,5642.308657191059
Greece,Windonshore,2040-2045,30687.7830522317
Greece,Windonshore,2045-2050,31341.795525080415
Greece,Windonshore,2050-2055,34954.955847328696
Greece,Windonshore,2055-2060,16872.0117864887
Croatia,Windonshore,2020-2025,0.0009435228749586366
Croatia,Windonshore,2025-2030,0.0007038893279261596
Croatia,Windonshore,2030-2035,0.34633494333603915
Croatia,Windonshore,2035-2040,0.07564667205721869
Croatia,Windonshore,2040-2045,12.531307751782634
Croatia,Windonshore,2045-2050,0.677891063703476
Croatia,Windonshore,2050-2055,0.003742124001251728
Croatia,Windonshore,2055-2060,0.0034592526063020605
Hungary,Windonshore,2020-2025,0.0009389244670768568
Hungary,Windonshore,2025-2030,11.672597345904945
Hungary,Windonshore,2030-2035,4739.355512617598
Hungary,Windonshore,2035-2040,2942.7605229680075
Hungary,Windonshore,2040-2045,3726.8438489588284
Hungary,Windonshore,2045-2050,6660.747603630065
Hungary,Windonshore,2050-2055,12411.464683046479
Hungary,Windonshore,2055-2060,8544.995473223677
Ireland,Windonshore,2020-2025,2.604393884835185
Ireland,Windonshore,2025-2030,135.8049062700177
Ireland,Windonshore,2030-2035,172.62783976830025
Ireland,Windonshore,2035-2040,1030.9256145199658
Ireland,Windonshore,2040-2045,8608.119488881222
Ireland,Windonshore,2045-2050,4674.020142325693
Ireland,Windonshore,2050-2055,1476.1409122068528
Ireland,Windonshore,2055-2060,5729.489720337506
Italy,Windonshore,2020-2025,0.0008184394706727277
Italy,Windonshore,2025-2030,104.40694393132591
Italy,Windonshore,2030-2035,3190.3484577599434
Italy,Windonshore,2035-2040,1992.4710167119558
Italy,Windonshore,2040-2045,12421.301279017129
Italy,Windonshore,2045-2050,6389.055763266017
Italy,Windonshore,2050-2055,28003.986203573146
Italy,Windonshore,2055-2060,24897.657081688372
Lithuania,Windonshore,2020-2025,0.0008559016534026684
Lithuania,Windonshore,2025-2030,42.29499057188388
Lithuania,Windonshore,2030-2035,874.3496575952563
Lithuania,Windonshore,2035-2040,1802.930969918418
Lithuania,Windonshore,2040-2045,6750.753404019976
Lithuania,Windonshore,2045-2050,3544.761660086463
Lithuania,Windonshore,2050-2055,2955.567185518387
Lithuania,Windonshore,2055-2060,4715.14777236196
Luxemb.,Windonshore,2020-2025,0.0010745188192154067
Luxemb.,Windonshore,2025-2030,0.0006850622041341689
Luxemb.,Windonshore,2030-2035,0.003155789067470069
Luxemb.,Windonshore,2035-2040,0.0065690572185334506
Luxemb.,Windonshore,2040-2045,0.2707650845613642
Luxemb.,Windonshore,2045-2050,0.17489115445927028
Luxemb.,Windonshore,2050-2055,23.56133091450046
Luxemb.,Windonshore,2055-2060,5.785853511322245
Latvia,Windonshore,2020-2025,0.000825008353448558
Latvia,Windonshore,2025-2030,0.01367470548746107
Latvia,Windonshore,2030-2035,0.37722981085403634
Latvia,Windonshore,2035-2040,0.15677693209151103
Latvia,Windonshore,2040-2045,1146.6537687711898
Latvia,Windonshore,2045-2050,934.7800748592113
Latvia,Windonshore,2050-2055,612.8246016105858
Latvia,Windonshore,2055-2060,1189.2018780332526
Macedonia,Windonshore,2020-2025,0.0007614257625339029
Macedonia,Windonshore,2025-2030,0.0006778710338008269
Macedonia,Windonshore,2030-2035,0.9992616467196599
Macedonia,Windonshore,2035-2040,0.18091805876518727
Macedonia,Windonshore,2040-2045,1.6181272380063871
Macedonia,Windonshore,2045-2050,0.874794348806684
Macedonia,Windonshore,2050-2055,0.002785736436014465
Macedonia,Windonshore,2055-2060,4.210647869577715
Netherlands,Windonshore,2020-2025,0.0011036773500929906
Netherlands,Windonshore,2025-2030,0.0008883083969609249
Netherlands,Windonshore,2030-2035,0.022063979197731644
Netherlands,Windonshore,2035-2040,0.0189311692265385
Netherlands,Windonshore,2040-2045,0.17534239932311624
Netherlands,Windonshore,2045-2050,0.18134748385560842
Netherlands,Windonshore,2050-2055,0.06521032508952418
