BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInvCapMax_MW,transmissionInstalledCap_MW,transmissionInstalledCapMax_MW,DiscountedInvestmentCost_Euro,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
SørvestC,VestavindE,2025-2030,4.053831824817798e-06,20000.0,3.3318891610650906e-05,1000.0,1.9802940502735287,0.00020963686993105208,6.289106097931566e-06
SørvestC,VestavindE,2030-2035,4.0964004453878546e-05,20000.0,7.42808227721233e-05,1000.0,11.670252331102896,0.00041882388764474094,1.2564716629342245e-05
SørvestC,VestavindE,2035-2040,1.1677453478215815e-07,20000.0,7.439552401407689e-05,1000.0,0.024471617221316203,0.00044708198442688246,1.3412459532806477e-05
SørvestC,VestavindE,2040-2045,0.0001003803882719803,20000.0,0.0001747738389930998,1000.0,10.849251233086921,0.0008492493362775091,2.5477480088325316e-05
SørvestC,VestavindE,2045-2050,5.036560837519243e-05,20000.0,0.0002251373740756509,1000.0,3.7713861515749794,0.0011176437386937715,3.3529312160813126e-05
SørvestC,VestavindE,2050-2055,1.7936449416408424e-05,20000.0,0.00024307175019872018,1000.0,0.8764857669470588,0.001305436735412284,3.916310206236848e-05
SørvestC,VestavindE,2055-2060,2.766692749035319e-07,20000.0,0.00024334634618154222,1000.0,0.007880516286371634,0.001266426044136255,3.799278132408765e-05
VestavindF,VestavindE,2020-2025,2.912951864563554e-05,10000,2.912951864563554e-05,1000.0,3.2561040126139864,0.00018932143000658101,5.679642900197432e-06
VestavindF,VestavindE,2025-2030,1.065634458656225e-06,20000.0,3.019307981186907e-05,1000.0,0.0933311724392593,0.00019377410049266626,5.813223014779994e-06
VestavindF,VestavindE,2030-2035,7.614795459190716e-05,20000.0,0.00010633896111070332,1000.0,3.8894715137318863,0.0005243913603961935,1.5731740811885766e-05
VestavindF,VestavindE,2035-2040,3.4285156169093214e-06,20000.0,0.00010976540343530292,1000.0,0.128817589548626,0.0005883524778199105,1.7650574334597356e-05
VestavindF,VestavindE,2040-2045,0.00012164266910188418,20000.0,0.00023140599924398677,1000.0,2.357172398528888,0.0009698633125270649,2.9095899375811982e-05
VestavindF,VestavindE,2045-2050,4.787050814688557e-05,20000.0,0.00027927443409860194,1000.0,0.6426721295883981,0.0012327393617234932,3.6982180851704915e-05
VestavindF,VestavindE,2050-2055,3.9884183844634993e-07,20000.0,0.0002796712026442126,1000.0,0.0034943275445430064,0.0013932593987636313,4.179778196290909e-05
VestavindF,VestavindE,2055-2060,1.2739361924495404e-07,20000.0,0.0002797965229712512,1000.0,0.0006505728366878104,0.001351766556178789,4.055299668536373e-05
SørvestE,VestavindE,2020-2025,2.9242754255540257e-05,10000,2.9242754255540257e-05,1000.0,14.983653552761513,0.00018871646464010622,5.661493939203197e-06
SørvestE,VestavindE,2025-2030,3.707504532865525e-06,20000.0,3.294818549568997e-05,1000.0,1.4884513474262955,0.00020739434046581818,6.221830213974554e-06
SørvestE,VestavindE,2030-2035,5.880254385979507e-05,20000.0,9.17486560629808e-05,1000.0,13.767749458340809,0.0004842329234219084,1.4526987702657268e-05
SørvestE,VestavindE,2035-2040,2.598655727110754e-07,20000.0,9.200644834252878e-05,1000.0,0.04475610361918634,0.0005622670098103197,1.6868010294309667e-05
SørvestE,VestavindE,2040-2045,0.00012477758686361707,20000.0,0.0002167819619134162,1000.0,11.083488508394245,0.0010153548755666756,3.0460646267000306e-05
