Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Italy,Windonshore,2035-2040,3532.5460920284504
Italy,Windonshore,2040-2045,7668.1761952285615
Italy,Windonshore,2045-2050,19103.727137020665
Italy,Windonshore,2050-2055,27492.29914978584
Italy,Windonshore,2055-2060,30601.129764427635
Lithuania,Windonshore,2020-2025,0.001441983077231999
Lithuania,Windonshore,2025-2030,33.247744541174455
Lithuania,Windonshore,2030-2035,0.08431054081027782
Lithuania,Windonshore,2035-2040,45.674888366404026
Lithuania,Windonshore,2040-2045,467.49451927973945
Lithuania,Windonshore,2045-2050,1881.9372675587967
Lithuania,Windonshore,2050-2055,2449.451370516379
Lithuania,Windonshore,2055-2060,8598.485589610787
Luxemb.,Windonshore,2020-2025,0.0015998588720031197
Luxemb.,Windonshore,2025-2030,0.0009625610976247447
Luxemb.,Windonshore,2030-2035,0.004437492385270509
Luxemb.,Windonshore,2035-2040,0.0818163963517196
Luxemb.,Windonshore,2040-2045,0.1845229969077313
Luxemb.,Windonshore,2045-2050,0.0682628075746242
Luxemb.,Windonshore,2050-2055,18.83853710922509
Luxemb.,Windonshore,2055-2060,70.26759641593337
Latvia,Windonshore,2020-2025,0.001414814206156874
Latvia,Windonshore,2025-2030,0.3227241412081538
Latvia,Windonshore,2030-2035,0.05728139322436202
Latvia,Windonshore,2035-2040,0.12938715022872868
Latvia,Windonshore,2040-2045,24.76540715214277
Latvia,Windonshore,2045-2050,48.23946960876841
Latvia,Windonshore,2050-2055,157.7436381912993
Latvia,Windonshore,2055-2060,867.8969369658643
Macedonia,Windonshore,2020-2025,0.0012922130581854347
Macedonia,Windonshore,2025-2030,0.0011058241928555848
Macedonia,Windonshore,2030-2035,0.04055573058090374
Macedonia,Windonshore,2035-2040,0.1038401840964738
Macedonia,Windonshore,2040-2045,1.701574350558431
Macedonia,Windonshore,2045-2050,1.805613352910667
Macedonia,Windonshore,2050-2055,0.0018055490378290253
Macedonia,Windonshore,2055-2060,0.003118516482491437
Netherlands,Windonshore,2020-2025,0.0016343031301446597
Netherlands,Windonshore,2025-2030,0.0009876515950294814
Netherlands,Windonshore,2030-2035,0.032950339501235666
