Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Hungary,Windonshore,2020-2025,0.0008020031475116806
Hungary,Windonshore,2025-2030,0.0005415160445789436
Hungary,Windonshore,2030-2035,1112.3659342759288
Hungary,Windonshore,2035-2040,9193.853626296786
Hungary,Windonshore,2040-2045,10326.95448664475
Hungary,Windonshore,2045-2050,11628.897275491687
Hungary,Windonshore,2050-2055,13370.562387464304
Hungary,Windonshore,2055-2060,16897.948569778906
Ireland,Windonshore,2020-2025,0.0007156466565768125
Ireland,Windonshore,2025-2030,335.46273587115456
Ireland,Windonshore,2030-2035,1771.3481021891569
Ireland,Windonshore,2035-2040,937.6164192186125
Ireland,Windonshore,2040-2045,9148.919366649281
Ireland,Windonshore,2045-2050,10042.595424062532
Ireland,Windonshore,2050-2055,9600.841824036952
Ireland,Windonshore,2055-2060,7638.263457957777
Italy,Windonshore,2020-2025,0.0006722695153963387
Italy,Windonshore,2025-2030,189.03044131069979
Italy,Windonshore,2030-2035,2782.012310839486
Italy,Windonshore,2035-2040,1667.200661948807
Italy,Windonshore,2040-2045,59013.06794745813
Italy,Windonshore,2045-2050,14404.755775096683
Italy,Windonshore,2050-2055,23815.443433088043
Italy,Windonshore,2055-2060,21511.276529059025
Lithuania,Windonshore,2020-2025,0.0006532318137451817
Lithuania,Windonshore,2025-2030,415.73266611746226
Lithuania,Windonshore,2030-2035,189.88563725358316
Lithuania,Windonshore,2035-2040,1170.5672729218538
Lithuania,Windonshore,2040-2045,3823.945437486588
Lithuania,Windonshore,2045-2050,7434.019649070408
Lithuania,Windonshore,2050-2055,4976.356342551263
Lithuania,Windonshore,2055-2060,5537.009743078379
Luxemb.,Windonshore,2020-2025,0.000820111200106309
Luxemb.,Windonshore,2025-2030,0.0005457449284494672
Luxemb.,Windonshore,2030-2035,0.0058927293504194385
Luxemb.,Windonshore,2035-2040,0.009998287401312325
Luxemb.,Windonshore,2040-2045,8.09416516236636
Luxemb.,Windonshore,2045-2050,7.7419320718790035
Luxemb.,Windonshore,2050-2055,59.73817376717571
Luxemb.,Windonshore,2055-2060,37.85960566471157
Latvia,Windonshore,2020-2025,0.0006391596257190005
Latvia,Windonshore,2025-2030,0.35701904916440896
Latvia,Windonshore,2030-2035,0.5403719739440611
Latvia,Windonshore,2035-2040,48.868856978265235
Latvia,Windonshore,2040-2045,1818.6024784887659
Latvia,Windonshore,2045-2050,3964.0407231309555
Latvia,Windonshore,2050-2055,4047.976977197353
Latvia,Windonshore,2055-2060,2268.189580713939
Macedonia,Windonshore,2020-2025,0.0006916973811492091
Macedonia,Windonshore,2025-2030,0.0005890557344754695
Macedonia,Windonshore,2030-2035,0.11582169529399838
Macedonia,Windonshore,2035-2040,0.20653956701034265
Macedonia,Windonshore,2040-2045,2.1916035389143067
Macedonia,Windonshore,2045-2050,1.3055243517068176
Macedonia,Windonshore,2050-2055,0.0016951838107570158
Macedonia,Windonshore,2055-2060,0.004483627180542919
Netherlands,Windonshore,2020-2025,0.0007903713763815537
Netherlands,Windonshore,2025-2030,0.0005861716906633013
Netherlands,Windonshore,2030-2035,0.023096054472069034
Netherlands,Windonshore,2035-2040,0.05110929214939832
Netherlands,Windonshore,2040-2045,106.58280212784656
Netherlands,Windonshore,2045-2050,303.94905580335876
Netherlands,Windonshore,2050-2055,1177.1285765007704
Netherlands,Windonshore,2055-2060,1300.4079663472323
